ace-step/ACE-Step	4858	2026-02-15	2025-04-28	Apache-2.0	ACE-Step: A Step Towards Music Generation Foundation Model
ace-step/ACE-Step-1.5	12856	2026-09-03	2025-09-04	MIT	The most powerful local music generation model that outperforms almost all commercial alternatives, supporting Mac, AMD, Intel, and CUDA dev
multimodal-art-projection/YuE	10178	2026-09-23	2025-01-23	Apache-2.0	YuE2: frontier music generation with symbolic planning, zero-shot covers, and agentic music editing.
ASLP-lab/DiffRhythm	2348	2025-11-27	2025-02-23	Apache-2.0	Di♪♪Rhythm: Blazingly Fast and Embarrassingly Simple End-to-End Full-Length Song Generation with Latent Diffusion
{"message":"Not Found","documentation_url":"https://docs.github.com/rest","status":"404"}Cypress-Yang/SongBloom	NOT_FOUND
{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/repos#get-a-repository","status":"404"}tencent-ailab/SongGeneration	NOT_FOUND
QwenAudio/FunMusic	21	2025-05-20	2024-10-29	Apache-2.0	A fundamental toolkit designed for music, song, and audio generation
Stability-AI/stable-audio-tools	3867	2026-09-18	2023-05-23	MIT	Generative models for conditional audio generation
facebookresearch/audiocraft	23648	2026-03-03	2023-06-08	MIT	Audiocraft is a library for audio processing and generation with deep learning. It features the state-of-the-art EnCodec audio compressor / 
hkchengrex/MMAudio	2266	2026-02-23	2024-12-07	MIT	[CVPR 2025] MMAudio: Taming Multimodal Joint Training for High-Quality Video-to-Audio Synthesis
openvpi/DiffSinger	3205	2026-09-20	2022-08-03	Apache-2.0	An advanced singing voice synthesis system with high fidelity, expressiveness, controllability and flexibility based on DiffSinger: Singing 
QwenAudio/CosyVoice	23748	2026-05-25	2024-07-03	Apache-2.0	Multi-lingual large voice generation model, providing inference, training and deployment full-stack ability.
resemble-ai/chatterbox	26530	2026-07-21	2025-04-23	MIT	SoTA open-source TTS
SWivid/F5-TTS	15277	2026-09-21	2024-10-08	MIT	Official code for "F5-TTS: A Fairytaler that Fakes Fluent and Faithful Speech with Flow Matching"
fishaudio/fish-speech	32813	2026-09-16	2023-10-10	NOASSERTION	SOTA Open Source TTS
hexgrad/kokoro	8964	2025-08-06	2025-01-10	Apache-2.0	https://hf.co/hexgrad/Kokoro-82M
